pipe_id,node1,node2,length,diameter,roughness
1,1,2,103.175460248,936.70744109,113.854332475
10,10,11,1003.54452319,827.7333166,133.784013077
11,11,12,1064.78075146,705.529261699,144.645111002
12,12,13,3974.69075562,581.390568472,141.333720432
13,10,14,904.402351524,369.532543424,127.147645517
14,14,15,599.402816971,446.420465472,140.365164328
15,15,16,601.311846402,328.286421229,141.762839327
16,17,16,2591.19558189,376.956608069,127.679395421
17,17,18,1525.47142806,480.550256032,135.371640609
18,18,19,707.806387761,552.32275542,130.365090189
19,19,3,363.391503707,608.609204564,130.392315807
2,2,3,1218.08744929,1107.79796868,138.424707827
20,3,20,2241.58247619,916.889187789,116.222014791
21,20,21,1696.280106,536.088543041,143.719116158
22,21,22,576.410813002,303.716419478,119.257722688
23,20,23,2900.72705814,981.831473903,138.351109752
24,23,24,1046.04264486,808.0752302,117.320486576
25,24,25,1435.00493719,742.403490607,121.584365133
26,26,25,1008.09022502,463.536059026,123.240859954
27,27,26,309.905240586,279.470377909,139.523879049
28,16,27,743.391647061,303.789111698,118.210688043
29,23,28,1607.37855788,427.278596589,110.654063655
3,3,4,1059.71250017,1039.18990626,136.623703135
30,28,29,2210.12411708,397.225429719,134.626466724
31,29,30,1500.67840368,313.835936085,120.398197974
32,30,31,168.184836698,335.104485865,116.075559058
33,32,31,909.739980413,406.153671142,115.405772998
34,25,32,1097.0342699,467.83228235,146.604531653
4,4,5,1274.01338201,931.2971798,113.541716986
5,5,6,1515.33105347,969.369351361,134.558952365
6,6,7,532.873700449,1022.03567456,111.296769708
7,7,8,740.955130091,1106.14342392,146.092885273
8,8,9,809.626526411,1011.53246376,114.345464913
9,9,10,663.052134884,971.456299707,135.503603889
