pipe_id,node1,node2,length,diameter,roughness
1,1,2,95.3014932046,919.982997568,126.951773277
10,10,11,1082.82470638,825.873040794,135.254002161
11,11,12,1003.41145481,824.869344445,131.157138951
12,12,13,3301.56784223,650.787127013,128.056432895
13,10,14,657.022873575,395.137061686,132.618208731
14,14,15,598.947924897,396.538040787,135.460136517
15,15,16,530.580118143,318.084795602,135.718651188
16,17,16,2551.23626812,416.215501638,136.273198792
17,17,18,2060.03673805,527.807333129,135.981180712
18,18,19,840.629864686,641.09966041,135.554284857
19,19,3,324.946564105,632.920825971,134.381408326
2,2,3,1117.34994637,1077.36410274,132.723309135
20,3,20,2361.06371408,956.900897308,136.262626896
21,20,21,1438.306136,534.664393103,133.880284509
22,21,22,493.347306028,334.050612292,124.164101606
23,20,23,2810.02922013,1063.72152308,125.417150483
24,23,24,1286.33772489,791.711831821,135.888108021
25,24,25,1400.96601447,743.934406575,133.745298559
26,26,25,823.300555648,475.732145449,134.310593323
27,27,26,269.750072997,308.196695679,134.321299624
28,16,27,749.232850527,292.725246992,132.334916611
29,23,28,1652.32963016,407.510262378,128.813587332
3,3,4,910.055511321,1059.26363685,134.888125924
30,28,29,2010.96949921,401.072801197,125.183459495
31,29,30,1466.47296947,333.317981256,134.330835369
32,30,31,141.513959093,287.448794603,127.693822377
33,32,31,865.003142345,417.035384903,131.673523653
34,25,32,949.202996736,492.130070306,124.320300081
4,4,5,1043.28631067,924.189664981,123.702934577
5,5,6,1377.44477479,1086.58409621,129.893752547
6,6,7,421.392622191,975.449149946,133.37334163
7,7,8,951.157146585,983.067798756,128.80490574
8,8,9,828.556401105,942.192824384,133.288319205
9,9,10,878.401141349,1047.8871758,127.183174984
