pipe_id,node1,node2,length,diameter,roughness
1,1,2,107.177026769,911.66051109,113.970336899
10,10,11,992.989975199,661.02023509,120.005880199
11,11,12,1240.49279428,663.863595618,152.900169082
12,12,13,3503.77809268,584.085640039,148.08046192
13,10,14,775.240227634,419.493660631,117.904524073
14,14,15,541.523821976,390.480550998,140.135661167
15,15,16,524.489555834,311.569423788,155.121730083
16,17,16,2920.69048233,412.122774512,112.880117255
17,17,18,1694.43109884,532.366094475,147.564287026
18,18,19,771.642641812,697.993605459,135.721527764
19,19,3,402.889093118,526.341062112,104.40219667
2,2,3,1325.97963346,945.116938753,131.584325981
20,3,20,2108.14550965,1154.50417744,132.65690674
21,20,21,1586.61936413,438.683644548,108.329416192
22,21,22,490.018042663,307.238712068,141.011382417
23,20,23,2799.26964081,939.739148718,127.258483637
24,23,24,1278.54843002,793.743640499,140.825417709
25,24,25,1177.0030023,818.675171422,127.200592912
26,26,25,777.519216593,580.802651836,118.898999672
27,27,26,270.678664993,312.923616498,124.55752653
28,16,27,813.752914266,324.98284708,151.162579382
29,23,28,1603.45826486,435.791032992,142.029669604
3,3,4,839.363735758,1031.1243862,155.384521137
30,28,29,2069.60534194,445.125397716,104.239527404
31,29,30,1653.06010748,322.298787763,140.380442611
32,30,31,147.077241591,312.3606998,122.384761074
33,32,31,847.584335024,440.63321702,148.759771906
34,25,32,979.459683526,506.550988341,140.574951719
4,4,5,1110.1939289,968.364002606,116.74917542
5,5,6,1564.39447315,1130.45717103,148.025657868
6,6,7,466.710815521,881.391563846,147.554178463
7,7,8,853.972798939,1098.36210959,153.705130506
8,8,9,928.304239191,979.867041073,149.737023292
9,9,10,744.09219703,945.240897834,136.61548869
