pipe_id,node1,node2,length,diameter,roughness
1,1,2,81.1099763784,1081.0058712,120.156157795
10,10,11,1021.37154012,690.432627336,113.035001525
11,11,12,971.207713555,821.602681531,131.624774859
12,12,13,2869.18516844,564.408919295,132.159755174
13,10,14,850.787417332,372.936804293,134.048259551
14,14,15,442.180844452,425.79741055,151.776841477
15,15,16,568.321059854,287.394342963,107.362405615
16,17,16,3021.43473621,377.686461845,144.084751778
17,17,18,2089.45705005,498.712084835,128.530978634
18,18,19,915.593765261,646.823959867,145.122024438
19,19,3,384.661209526,568.346148712,133.495357766
2,2,3,1521.67629542,1004.56131966,129.700146305
20,3,20,2430.64615656,976.840713156,104.504116172
21,20,21,1493.32874447,457.249052727,141.621444389
22,21,22,459.960016969,296.235114563,127.804052406
23,20,23,2543.05006125,925.024135606,125.553673347
24,23,24,1048.82813245,805.854018534,140.311920475
25,24,25,1175.20185943,760.66550273,135.649152603
26,26,25,774.85864209,545.862599602,140.431374794
27,27,26,251.886166418,330.955467502,118.873629949
28,16,27,628.878645552,311.727717698,138.916496099
29,23,28,1670.69149364,442.017084958,105.102746072
3,3,4,913.263645582,1015.35752101,122.447557042
30,28,29,1761.98952401,386.180196543,115.938073532
31,29,30,1355.74052373,285.28825632,142.515665
32,30,31,169.897356761,333.422144056,151.556474019
33,32,31,728.426812635,438.756792299,142.469694333
34,25,32,788.83087004,460.439696072,118.306567229
4,4,5,1225.40640833,1002.59649627,148.929015653
5,5,6,1547.58820241,1002.28775167,109.910910108
6,6,7,477.440840127,975.386294583,139.4785445
7,7,8,844.220044777,1036.65963098,104.864767092
8,8,9,695.458823496,1079.59197853,141.073419198
9,9,10,857.702561105,1022.34184508,124.756169298
