pipe_id,node1,node2,length,diameter,roughness
1,1,2,101.224911403,816.931265008,150.157518137
10,10,11,1013.4068052,700.302449678,130.84642341
11,11,12,1290.62843134,753.660771083,136.377117636
12,12,13,3452.34820066,646.149819163,130.188336785
13,10,14,761.42050287,442.934408683,123.954809681
14,14,15,470.966305832,403.285515459,108.511281479
15,15,16,603.573159152,290.103161639,143.166126886
16,17,16,2949.44363254,405.814060548,112.388180003
17,17,18,1661.54933658,494.975370402,127.862609781
18,18,19,862.126074552,585.71883068,135.831946388
19,19,3,371.832983558,683.144804255,120.215425259
2,2,3,1432.00600371,1020.12564321,146.592986296
20,3,20,2382.20175228,1093.71234298,121.932872179
21,20,21,1382.37682512,582.810152785,126.636912431
22,21,22,497.674656925,299.609254546,123.213739642
23,20,23,2883.23051381,994.749603693,153.497441481
24,23,24,1184.6239143,759.184113821,154.362081765
25,24,25,1324.20041757,706.536980397,138.402317254
26,26,25,793.177379975,415.303954798,116.822761708
27,27,26,316.049609944,340.606105278,139.584195451
28,16,27,732.884641561,280.992214002,117.716259247
29,23,28,1413.53079689,336.365684842,134.658987382
3,3,4,881.389546935,942.377712901,150.898252276
30,28,29,2030.83816215,378.511375326,122.97352666
31,29,30,1742.35918643,354.154475966,130.192443134
32,30,31,164.712133967,300.353910408,107.830094016
33,32,31,931.768944593,374.818757993,104.213042757
34,25,32,956.73088664,472.92120738,113.907829195
4,4,5,1264.83434751,1147.04227752,110.233543042
5,5,6,1379.59730382,878.573195136,151.353218501
6,6,7,438.47191071,1136.79201978,120.6172672
7,7,8,864.194873699,845.98080328,144.79564651
8,8,9,915.518673604,1079.00464075,121.658640231
9,9,10,743.441114662,1062.98880084,104.715417132
