pipe_id,node1,node2,length,diameter,roughness
1,1,2,83.0945097351,947.657616033,120.545310997
10,10,11,1048.43389172,755.148230817,137.738885539
11,11,12,1365.46234384,802.296254406,122.681482416
12,12,13,3900.72842911,548.368293872,136.88558258
13,10,14,736.68016519,462.446471309,153.341482704
14,14,15,571.811271019,454.009399701,129.015616122
15,15,16,477.881032475,325.382703342,149.571664558
16,17,16,2638.37901662,353.439004905,135.836265181
17,17,18,1647.43946401,553.517294379,122.484647174
18,18,19,842.021117756,614.979100836,130.562915869
19,19,3,463.112334997,635.881403115,123.307903255
2,2,3,1441.36252141,942.998842219,113.516268096
20,3,20,2172.55073331,868.862972879,117.470188304
21,20,21,1454.47608688,530.670571589,128.572652436
22,21,22,403.17604011,323.8232271,149.781025218
23,20,23,2513.31101113,891.174411145,124.092826126
24,23,24,1413.06493306,743.113244259,112.770947814
25,24,25,1554.53362249,830.597703674,109.825341764
26,26,25,971.809204647,518.447923699,142.916655059
27,27,26,342.240430822,319.136302973,114.285006276
28,16,27,716.309642193,288.259276523,113.260714882
29,23,28,1594.60378835,387.202013863,139.735486371
3,3,4,897.017104213,1097.1678517,142.521715427
30,28,29,1964.18166246,446.138455606,129.884482068
31,29,30,1507.38756325,336.392795625,114.809441115
32,30,31,150.309708874,309.905823936,110.1451099
33,32,31,920.89875039,417.49539538,126.453981433
34,25,32,899.732677115,583.158118288,152.349368344
4,4,5,1243.98713415,1002.29149737,105.846632236
5,5,6,1229.22118342,1100.32913788,116.64297338
6,6,7,529.126119076,1099.58905514,148.021397418
7,7,8,1014.22055816,899.127976176,118.611580132
8,8,9,912.537198082,889.157634076,145.318756457
9,9,10,865.282414462,1047.08332788,137.179646753
