pipe_id,node1,node2,length,diameter,roughness
1,1,2,109.904741051,1095.13530913,138.229417027
10,10,11,896.212813604,689.094948407,138.524204745
11,11,12,1227.04580979,818.328888894,125.141632541
12,12,13,3369.76632046,596.834015997,129.740909831
13,10,14,855.729002317,466.255573741,132.276144516
14,14,15,519.957803209,360.327731403,129.80757809
15,15,16,585.512383764,334.157396165,120.143911727
16,17,16,2531.78532103,413.367985536,140.135286876
17,17,18,1894.57419876,583.96529326,130.531961738
18,18,19,876.18047943,650.491063931,141.525415573
19,19,3,405.04993799,640.465145255,126.199757138
2,2,3,1220.43340982,1065.71215609,139.644247334
20,3,20,2005.69498227,973.561510853,127.017465469
21,20,21,1392.37239777,487.468702811,123.312851555
22,21,22,527.558666735,311.844195594,137.268856305
23,20,23,2569.07090161,1083.49029957,121.508421702
24,23,24,1153.8560836,794.00114307,135.524369228
25,24,25,1400.79691822,842.415066056,137.853513604
26,26,25,871.750935245,483.33716145,142.077604256
27,27,26,325.942240428,307.176276979,133.977172021
28,16,27,763.609144746,290.430828826,125.330153882
29,23,28,1584.03489921,370.28526198,141.507225627
3,3,4,820.847075518,1155.98057004,132.774250947
30,28,29,2003.61262772,450.248403527,136.151755785
31,29,30,1759.57751554,303.792613103,118.328941844
32,30,31,138.687768539,267.46845992,136.671661206
33,32,31,806.806047088,364.048720486,124.175674473
34,25,32,898.980698969,457.873433193,141.771775485
4,4,5,1249.88180873,1041.20436256,132.839397245
5,5,6,1532.17902062,1010.89810987,140.066563419
6,6,7,438.997595428,1029.229433,140.903475956
7,7,8,772.42072312,1074.65600431,119.555280963
8,8,9,849.191104617,1081.08886484,142.453876129
9,9,10,745.654755182,1126.13502452,138.962485058
