pipe_id,node1,node2,length,diameter,roughness
1,1,2,99.2108678394,959.901709907,128.340067506
10,10,11,959.600130459,697.888351864,125.112237337
11,11,12,1145.43989367,807.248183006,126.592343921
12,12,13,3510.97513498,638.75118899,119.766208359
13,10,14,812.284816287,347.861022877,117.633525999
14,14,15,498.812795082,429.970923224,120.193740145
15,15,16,528.897090347,279.676726473,133.017932316
16,17,16,2622.83948689,461.354791181,139.257117253
17,17,18,1672.12360557,570.334224887,135.952388319
18,18,19,829.340928056,576.446767736,138.135267459
19,19,3,396.152364246,522.711032636,138.282776407
2,2,3,1388.91498184,930.392245438,127.118324636
20,3,20,2235.64575847,1004.53981793,127.945184088
21,20,21,1514.29684404,534.019661189,126.632416429
22,21,22,507.298921497,336.827601091,136.892363562
23,20,23,2750.84491694,958.915753476,120.023420941
24,23,24,1183.88407822,805.495147758,140.192700279
25,24,25,1282.96646901,749.338715458,118.040581251
26,26,25,825.282699579,485.485835941,141.697088331
27,27,26,285.292912304,302.969706487,138.073821011
28,16,27,726.237647793,274.094067379,135.630152376
29,23,28,1533.39828516,447.637819261,130.239354322
3,3,4,922.987547429,977.032999633,120.768599352
30,28,29,2070.50427198,398.531043994,118.04793883
31,29,30,1535.23190276,313.720300911,135.528596937
32,30,31,143.18957501,302.024837524,133.920135612
33,32,31,823.184703178,400.782913979,132.509308765
34,25,32,923.341850072,497.798253792,132.021252954
4,4,5,1123.91321656,882.586044095,132.552828369
5,5,6,1430.42543371,959.081502464,134.589871807
6,6,7,471.976516086,987.902747753,128.940244654
7,7,8,890.720566816,1088.41224852,119.488856614
8,8,9,887.566887359,1046.60814232,129.457322648
9,9,10,836.041380903,1116.82616282,133.301513068
