pipe_id,node1,node2,length,diameter,roughness
1,1,2,105.968071371,995.382482896,138.494959913
10,10,11,1054.03060645,766.898884344,130.314977969
11,11,12,1188.1439457,752.674412337,139.650446082
12,12,13,3532.35911585,549.619480321,126.227814598
13,10,14,803.6543891,434.511363208,128.131172879
14,14,15,555.639901229,449.885893213,131.045564664
15,15,16,544.591046797,332.159892715,145.829947973
16,17,16,2854.31722515,440.407647471,128.335974878
17,17,18,1894.76045766,453.454295012,138.865079988
18,18,19,773.926914428,666.166954446,113.186287669
19,19,3,367.606987435,529.510554342,133.491305566
2,2,3,1336.16408295,974.017207182,117.970658292
20,3,20,2097.37193373,1069.52509202,126.007535947
21,20,21,1409.19773718,575.631964489,144.694464854
22,21,22,460.220605059,271.563181975,135.210501519
23,20,23,2944.63886828,1144.42075306,111.716933054
24,23,24,1056.33110895,740.255399247,118.02112124
25,24,25,1302.66400168,767.04614076,131.867056271
26,26,25,850.519592267,472.332747123,139.809934589
27,27,26,337.395900103,294.322078003,136.021693323
28,16,27,742.25298999,321.403511638,146.525758234
29,23,28,1672.73541781,449.050370646,113.699492807
3,3,4,897.713005696,983.452720943,119.720239507
30,28,29,1807.59715814,458.098558501,125.421582871
31,29,30,1368.79568489,339.791555198,122.456026311
32,30,31,140.7866518,304.685649577,132.19629547
33,32,31,913.949523179,413.633323088,139.78624239
34,25,32,899.973455086,554.756442351,145.727226169
4,4,5,1030.51839878,961.069505793,128.206171963
5,5,6,1287.94456071,1032.76610897,128.606848251
6,6,7,398.669553012,1003.62158957,143.519368674
7,7,8,976.152071648,886.237515204,143.876655907
8,8,9,810.958179735,915.074398292,146.430235462
9,9,10,802.79754882,1008.61866834,147.71384009
