pipe_id,node1,node2,length,diameter,roughness
1,1,2,101.239871775,1059.03139482,113.331539116
10,10,11,928.40938904,721.815684521,136.518304831
11,11,12,1131.09663817,837.914399704,135.086460759
12,12,13,3405.59587478,529.918482778,136.911772268
13,10,14,791.847297504,332.935457685,110.248017202
14,14,15,484.391707693,417.729282183,137.308905
15,15,16,506.964078574,286.61755405,119.646618972
16,17,16,2622.0716162,425.373549423,139.239125291
17,17,18,1880.00975867,485.525226168,121.671156026
18,18,19,852.997979789,543.455138455,117.901910871
19,19,3,424.365322543,698.621648267,146.541890251
2,2,3,1443.56233483,923.290203627,138.734134698
20,3,20,2339.69978324,1193.76338852,155.780132329
21,20,21,1455.79341224,447.250532333,106.44655071
22,21,22,464.003093579,311.312230714,112.18530765
23,20,23,2903.85286566,967.547235282,138.534264258
24,23,24,1201.32902014,759.28386104,106.148577679
25,24,25,1194.69990238,673.130062174,111.83238101
26,26,25,923.673580196,543.784772989,123.359884724
27,27,26,305.048677579,351.951138695,142.704841024
28,16,27,777.675180249,324.787252122,150.920342018
29,23,28,1649.79845142,477.127195737,152.246967952
3,3,4,886.751757988,930.176354943,110.525486443
30,28,29,1971.4829888,457.965113874,146.553131155
31,29,30,1740.74462907,272.461666877,108.590338896
32,30,31,156.715257253,341.20760072,133.997428292
33,32,31,907.130603034,451.099988826,121.107659427
34,25,32,855.233380815,410.774106039,131.445268652
4,4,5,1227.30069363,1084.05211277,130.187816164
5,5,6,1488.87453034,914.894768451,110.963397464
6,6,7,485.158478703,1212.59532769,140.512875528
7,7,8,771.061018391,1061.05679903,115.153857473
8,8,9,900.240062635,1051.86750769,126.630217468
9,9,10,817.975087463,1013.98045755,106.45523102
