pipe_id,node1,node2,length,diameter,roughness
1,1,2,96.170464375,1068.88239111,144.171875275
10,10,11,849.211174178,727.768108484,142.011995186
11,11,12,1189.93845665,654.759830282,126.010104707
12,12,13,3682.59832094,697.456774331,137.340309249
13,10,14,772.845082017,379.513000671,127.614366884
14,14,15,562.280790254,367.885660957,148.802370818
15,15,16,563.347220628,304.850369633,148.119962028
16,17,16,2346.35710415,456.183096506,128.560411043
17,17,18,1927.3322808,535.381956471,111.152256439
18,18,19,765.242460941,605.348703717,136.010561831
19,19,3,393.193931929,653.26646725,121.575432094
2,2,3,1202.76078289,1117.21079708,117.065099763
20,3,20,1897.60279206,1075.95556634,148.023202972
21,20,21,1367.1752045,546.457616204,118.665975163
22,21,22,502.726116168,264.404210708,113.396795589
23,20,23,2555.77091541,1078.65075548,139.673138396
24,23,24,1185.84648778,730.569816905,139.232892619
25,24,25,1109.87233288,793.394761039,116.419960775
26,26,25,793.713213474,456.430345584,116.253882118
27,27,26,274.156242865,274.764721571,111.132127901
28,16,27,657.697857417,274.152626439,118.722114895
29,23,28,1666.55557929,356.486557961,137.540026071
3,3,4,958.816886665,929.311934154,147.233804634
30,28,29,1871.41036948,386.932866557,119.31814559
31,29,30,1448.06224796,329.898741251,114.057176194
32,30,31,151.592379565,324.196599018,142.138467528
33,32,31,867.79161278,432.758947049,124.16488682
34,25,32,893.524911459,505.598941692,124.663840933
4,4,5,1206.60028937,980.580720014,136.470795848
5,5,6,1649.1198754,1145.47100805,118.286283812
6,6,7,389.85527797,951.005254337,125.580145324
7,7,8,876.320965703,1071.12559611,140.492125516
8,8,9,745.984672265,1043.91103914,132.863439582
9,9,10,682.748633092,1119.83561871,135.600896255
