pipe_id,node1,node2,length,diameter,roughness
1,1,2,87.0997717913,918.278238602,114.014915147
10,10,11,860.698786778,797.871807263,114.884668698
11,11,12,1145.9076611,699.799620543,134.858376926
12,12,13,3989.40072697,604.693844485,155.044253703
13,10,14,728.385011767,438.071688632,145.580009945
14,14,15,461.813417304,371.136246676,138.848391639
15,15,16,606.831707223,294.53564336,148.277037365
16,17,16,2994.47821729,444.847038342,104.901794478
17,17,18,1938.2215432,506.150599762,115.203700611
18,18,19,805.963194415,600.485221474,154.376047582
19,19,3,366.524158238,555.252772409,149.353306997
2,2,3,1527.82885579,929.108094791,146.43720033
20,3,20,2291.96333044,1092.41103823,114.704478519
21,20,21,1420.41443032,524.501135391,141.673172526
22,21,22,426.379291559,290.234782327,132.858015777
23,20,23,2644.8069624,1082.5596933,155.125452925
24,23,24,1088.67732926,794.580317366,145.06733247
25,24,25,1274.28661375,751.126032482,116.874851818
26,26,25,864.073775081,474.911347067,146.698271139
27,27,26,331.165641989,315.666887832,104.916054664
28,16,27,774.922724435,306.895154055,126.171121656
29,23,28,1493.0803944,419.277073731,143.821581987
3,3,4,932.446238425,941.796202492,145.041918202
30,28,29,1990.5529076,433.474997388,111.718765591
31,29,30,1614.05810853,307.681197757,117.841170251
32,30,31,144.118327454,326.575188206,143.128404704
33,32,31,960.380788097,443.237719976,110.506954139
34,25,32,933.262752562,480.612406012,134.040496621
4,4,5,1162.06300682,989.718055911,119.187251653
5,5,6,1271.03442584,1009.40126087,107.206567747
6,6,7,482.348669565,973.390824163,154.304660285
7,7,8,873.603659908,981.407173188,142.500351777
8,8,9,926.61520931,1069.19238175,151.622701712
9,9,10,908.88693112,935.827702411,150.021113066
