pipe_id,node1,node2,length,diameter,roughness
1,1,2,92.0324190523,1059.03653717,128.703595555
10,10,11,1064.53560798,788.436132527,123.752996098
11,11,12,1329.41529922,798.332500479,139.222273118
12,12,13,3249.12279648,622.271332092,139.049411589
13,10,14,721.45023285,396.901582931,137.404456295
14,14,15,572.625911148,389.085327175,117.949005036
15,15,16,587.455085037,313.42725217,128.472560806
16,17,16,2923.48377471,420.961671392,135.006217322
17,17,18,1590.20974825,533.121916765,133.375630729
18,18,19,789.741601857,599.63285253,130.712494418
19,19,3,377.499855269,614.695670881,141.796288082
2,2,3,1333.52467052,1025.75438111,127.502894657
20,3,20,1976.52285221,1033.68948206,137.990182451
21,20,21,1448.5446705,521.821635318,119.349772717
22,21,22,497.126343143,305.137381486,136.164663805
23,20,23,2783.0450244,1064.75411088,139.788268685
24,23,24,1363.46786948,762.349351894,138.801830898
25,24,25,1415.1740666,795.432292209,123.896395115
26,26,25,950.999234637,488.170064132,136.43718715
27,27,26,327.500725011,296.72141485,117.78533414
28,16,27,843.272992699,310.843020039,128.116338039
29,23,28,1442.34639579,408.504317592,138.919484565
3,3,4,771.623112399,1013.89941264,136.460374358
30,28,29,2034.89107856,418.820272506,130.365762132
31,29,30,1589.88502019,310.799691162,141.921305914
32,30,31,146.621384624,311.44365874,129.456092575
33,32,31,937.564342762,423.1365617,124.721103736
34,25,32,913.838974941,514.539219058,135.170738433
4,4,5,1009.85906201,990.247065042,126.044683833
5,5,6,1260.79588872,1022.13656827,125.361647136
6,6,7,485.749170261,1016.28022839,129.608120307
7,7,8,798.365196615,1006.32997204,140.667431552
8,8,9,896.696591743,980.540418209,125.183204283
9,9,10,769.485486365,1019.47358034,129.920306864
