pipe_id,node1,node2,length,diameter,roughness
1,1,2,99.6326451581,908.432444619,147.140503933
10,10,11,946.774431207,673.188834946,148.782521374
11,11,12,1226.43368617,701.088044472,131.049413477
12,12,13,3598.49185417,573.376984066,130.307928032
13,10,14,810.552239439,454.481188586,147.990964687
14,14,15,506.220473572,356.428428779,140.699550277
15,15,16,580.60401925,333.243051541,118.369547385
16,17,16,2911.6829979,368.687506918,115.785206441
17,17,18,1878.27330197,533.274579156,125.859899598
18,18,19,805.91373162,521.167189227,141.143678541
19,19,3,371.694925311,608.37008444,148.23201047
2,2,3,1415.83492094,1023.78438503,147.060779345
20,3,20,2261.31775294,1150.22947582,117.56825504
21,20,21,1458.72196104,545.049242945,126.661738657
22,21,22,484.14596382,324.514536055,140.659970277
23,20,23,2521.23816659,873.844720765,143.276205717
24,23,24,1261.04742685,814.177689212,141.315095584
25,24,25,1365.44500286,662.11990719,111.665220656
26,26,25,895.746758741,541.903966717,140.623498966
27,27,26,279.946340056,332.803655758,124.2238682
28,16,27,693.575803867,298.612906908,133.357896098
29,23,28,1371.73376763,394.404868897,124.301281154
3,3,4,981.032556891,1122.8016832,147.038128016
30,28,29,2069.81021315,354.162635502,115.918951846
31,29,30,1444.91475021,313.413421955,119.253647368
32,30,31,139.552633016,289.61539921,135.406060847
33,32,31,929.254835295,454.014122493,145.650836729
34,25,32,1021.76636242,530.218550161,132.695699061
4,4,5,1232.05466497,981.925400046,119.594985525
5,5,6,1329.19117049,890.211934584,126.805035012
6,6,7,442.586626893,1125.01962037,112.394382628
7,7,8,830.120465311,1053.85317384,126.104896052
8,8,9,855.268818797,899.289124592,113.34504557
9,9,10,736.413864204,1143.99606301,110.744260644
