pipe_id,node1,node2,length,diameter,roughness
1,1,2,97.0930055472,970.199549677,132.001991983
10,10,11,940.874990378,793.380330103,115.753948367
11,11,12,1232.46767557,731.854084609,112.235361358
12,12,13,3658.47088126,490.799577865,142.576576306
13,10,14,773.477642116,410.181221325,149.177213332
14,14,15,516.773894133,383.338196225,146.868367641
15,15,16,563.609143378,330.781323974,133.086770288
16,17,16,2684.94145858,382.539073486,139.786260741
17,17,18,1801.17052706,527.481078439,123.934552962
18,18,19,779.326007637,557.529734775,149.322676672
19,19,3,395.292619505,597.455159742,149.065644301
2,2,3,1317.76319041,1207.72445146,125.462219907
20,3,20,2148.19098266,1097.07400441,131.988243391
21,20,21,1564.0099479,419.344129035,115.112218771
22,21,22,510.768722075,363.963284432,139.442672207
23,20,23,2541.78837912,1101.81550933,112.860938588
24,23,24,1290.90979688,891.169923936,116.704568411
25,24,25,1331.45202201,770.698147099,131.153968905
26,26,25,808.562987018,447.703408408,113.547061127
27,27,26,305.663651183,364.600943437,144.863138944
28,16,27,712.754928099,361.103487904,121.955357868
29,23,28,1449.96838911,482.177618628,110.709271332
3,3,4,868.454994187,1199.28187839,139.081795364
30,28,29,1961.87646574,477.074313573,147.009472988
31,29,30,1529.20061596,332.227484054,140.710383087
32,30,31,152.868531018,285.478894713,116.404348855
33,32,31,898.830919664,366.077858783,148.302953641
34,25,32,923.44713723,575.286243719,111.055525626
4,4,5,1156.8161576,1147.54252571,126.996664844
5,5,6,1447.18423759,997.465859106,110.517282288
6,6,7,429.561085908,1019.63657558,127.707342472
7,7,8,817.248514707,1061.608738,143.437901356
8,8,9,820.911304463,954.092876782,116.693231649
9,9,10,806.146671937,1211.87999725,129.648796393
