pipe_id,node1,node2,length,diameter,roughness
1,1,2,90.0367234138,1000.17792231,142.775867032
10,10,11,1007.18731543,776.526469725,117.980752206
11,11,12,1253.44243756,797.390287082,135.508112987
12,12,13,3763.25762851,586.982230058,123.613121392
13,10,14,851.229851206,399.195787337,121.251490893
14,14,15,492.403085263,392.827681704,130.413095337
15,15,16,562.833549969,301.364714537,136.413152761
16,17,16,2997.07217711,409.107015231,122.853749437
17,17,18,1733.54990623,516.722083835,142.54662169
18,18,19,810.224052891,627.081157054,128.7827572
19,19,3,365.675555407,586.181629193,131.135837275
2,2,3,1468.27405722,1026.93945188,123.044598438
20,3,20,2119.75452347,1026.91122595,120.743801787
21,20,21,1608.04090083,496.728458711,125.943626702
22,21,22,465.35501927,292.345134829,117.732811532
23,20,23,2648.85335235,1018.25124926,124.682713987
24,23,24,1206.39946505,751.891958376,127.781831979
25,24,25,1199.17189588,796.066535014,125.838772038
26,26,25,916.734145206,491.052677619,128.633121958
27,27,26,283.927827715,293.501643444,131.040149657
28,16,27,687.469250939,316.028395469,141.534170691
29,23,28,1600.7597678,420.156017002,141.790925158
3,3,4,917.748607899,1000.1423931,137.709754803
30,28,29,1926.61360513,425.564801692,141.529231978
31,29,30,1442.19641801,319.14340071,139.918865678
32,30,31,138.721431391,297.3198559,135.388039844
33,32,31,816.094315353,414.684791723,118.352113261
34,25,32,1007.0296179,489.48829673,123.416100847
4,4,5,1204.43799047,1066.60830585,138.887238178
5,5,6,1447.30044901,1015.09180706,134.61894464
6,6,7,459.963240885,1058.13824968,124.321646376
7,7,8,849.965441069,1045.68603424,133.961611557
8,8,9,848.99293508,974.298465404,128.905928422
9,9,10,785.305153439,1049.59381413,136.015209834
